Date,AFK,ARGT,ECH,EDEN,EFNL,EIDO,EIRL,EIS,ENOR,ENZL,EPHE,EPOL,EPU,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWK,EWL,EWM,EWN,EWO,EWP,EWQ,EWS,EWT,EWU,EWW,EWY,EWZ,EZA,FLRU,FXI,GREK,INDA,PGAL,SPY,THD,TUR,UAE
2018-02-09,1.0028759036331187,0.9868150521928043,0.9971633776257371,1.0067392231396286,1.0079346980302768,1.024381448210054,1.005866852598856,1.0008039705142744,1.0019563974779682,1.0043012087377052,1.0085448252955083,1.017397813990273,1.0007461407870082,1.0128205592151762,1.0018235574630425,1.0063273093134015,1.0072214913149597,0.9926589838834555,1.0066689306648566,1.010088885825008,1.007525869489493,1.0023146472967825,1.0074030233571085,1.0035425375006217,1.0052930884223368,1.0046127933333715,1.000978526101732,1.0121284888001618,1.020454466016086,0.9997083145925751,1.0161483532447146,1.0237922637386445,1.0205721709553517,1.0288597081334891,1.0,1.0015201479083575,1.0087039668916191,1.0309039561228848,1.0068026063298505,1.015021395085578,1.0296870144965342,1.0201152669234808,1.0023449090374401
2018-02-12,1.0254723449860863,1.0251976942323147,1.0069969717724938,1.0268035347626698,1.0195883775614374,1.0354964838253804,1.0171663816820233,1.0138693971143353,1.0269954290084589,1.0055914462707334,1.0096473471145184,1.0347957095639029,1.00721399844811,1.0288461168754062,1.0142233349229057,1.0189814307056808,1.0216639839251116,1.0008156375198456,1.0146080060561455,1.0297537782882105,1.018344248005466,1.014756795918282,1.0228011270096626,1.0151369362201166,1.0211726396785634,1.0202952858551313,1.0169600709283337,1.0176057110794623,1.0312499825832535,1.0110819394503214,1.0218004284344313,1.037284151304022,1.035232900112859,1.0597364594603975,1.0,1.0138980702641456,1.0212765699036113,1.0361518698986585,1.0153061080212384,1.0299265800098418,1.0395826540280726,1.043103779043785,1.0031653838636276
2018-02-13,1.0345110384220455,1.0310575498464323,1.0018909612467566,1.0248123817266435,1.021076284627599,1.054141261597689,1.0239026548128962,1.0044222495299193,1.0340377504303382,1.0116130037930617,1.0137818601754427,1.045763939209957,1.0176616955784716,1.034798450708207,1.0149527102209506,1.0186803907183646,1.019780347939236,1.0073409233039,1.0076215392096808,1.01709970248676,1.0192850994419995,1.0107060073181848,1.025170265404303,1.0125604335311762,1.0207654863637483,1.012607697947375,1.01532938910018,1.0258217872701754,1.036079696165951,1.0128316306885061,1.0244245425229064,1.0410561769968805,1.0406712510890277,1.079131093219777,1.0088606357873888,1.0138980702641456,1.0241778683864986,1.0355684040813464,1.0127551062696372,1.0324886560422943,1.048617765638726,1.0380748791429457,1.007620453383911
2018-02-14,1.0550533463904797,1.0621152814764854,1.0198562663677762,1.043957763699979,1.0448798949248785,1.0631050747754565,1.0306387498932812,1.0247236577792957,1.0414712967709798,1.0262367863472874,1.023980355720195,1.0718607417787231,1.0457710882873044,1.053113454524893,1.0291758067079957,1.0430853714739678,1.0423862198601093,1.0261012359488615,1.034931812459255,1.0324897595603602,1.0301035826249472,1.0332752832706549,1.0399763121185202,1.0299517925267077,1.032573313812345,1.0270604283144336,1.0365297154266786,1.036385077965666,1.0528410953370013,1.0300378404777772,1.0399675709957255,1.071811977820494,1.0685737548336678,1.1204034118447923,1.0139240673432357,1.0447341228303306,1.0425530683642656,1.0408164392860104,1.034005035695595,1.0464231018180352,1.0584058991188532,1.0454981870055684,1.008792621623906
2018-02-15,1.0801150010768934,1.0767651022954001,1.0395234546612893,1.055138597588439,1.057029644268416,1.07350303624493,1.0510646128305496,1.037588009410506,1.050860694821277,1.0322581514261027,1.023980355720195,1.0688352229942368,1.0539801329083416,1.0608972321958665,1.0357405023048802,1.0509188041594946,1.0430142151934412,1.037928258424557,1.0377899362497665,1.0374484098038244,1.03809961616527,1.0422452739501076,1.0494519550557895,1.0405796782670993,1.0354233870160514,1.0307505639151882,1.0466406155390617,1.0567294487391312,1.0718752306474864,1.039661703896278,1.0530881414381001,1.095749140379325,1.0761409191389812,1.1649340186818353,1.0430379367735547,1.071878510976554,1.058994021724803,1.0478134147959284,1.039965921635559,1.0597757084763322,1.067441010729507,1.071599695620092,1.0029309931574375
2018-02-16,1.0751848666469312,1.0796949695079185,1.0321482364882058,1.062949980055159,1.0706671797297274,1.0795984755683645,1.0436764078385303,1.0418090192910106,1.0567294324482546,1.0324733032736566,1.025358676712865,1.0450074983263178,1.0440299013273688,1.0521976760623108,1.030999284692418,1.0515218075696708,1.0448979211821408,1.036704709332144,1.042235815487328,1.0533514182499089,1.0366887053448819,1.0402197861516225,1.0533017961909137,1.03993558674968,1.030130012604498,1.0313655511346203,1.0485975946145012,1.0547730967713496,1.0735796434180898,1.038786788076125,1.0516751226406709,1.098795875487249,1.076850332845238,1.1520560414992307,1.0350210913100335,1.0720956338443028,1.0502901262761408,1.0268222454083944,1.047618926890363,1.0600862372680402,1.0644294027612082,1.0766287064142233,0.9947246703625727
2018-02-20,1.0579293474359086,1.0823322862798752,1.0336609513343724,1.047786904153876,1.0619886491147574,1.0745786474637096,1.0356365380610961,1.035176015527401,1.0489046611888504,1.0234408707684077,1.0350056863895694,1.043872918584216,1.0360697620922505,1.0494503406745639,1.025528930217772,1.0397710192398504,1.0348509058855437,1.0322184245350594,1.0244522985370825,1.044801675285034,1.0253996394432052,1.0266201268848583,1.0497482637222786,1.0357488211123758,1.0195439310895638,1.0276752740110906,1.039791298467061,1.0461659638262308,1.057102326312042,1.0277048486258036,1.0385545521982962,1.0581749463629293,1.084653374982619,1.1185413840114398,1.0350210913100335,1.0503798930600317,1.0261121864466851,1.014285623214047,1.022959113276043,1.0534487254031404,1.05808338096462,1.0306515712803228,0.9912075215154565
2018-02-21,1.0682005014201257,1.077644329075133,1.0310135875385005,1.042119968459798,1.0555418581506422,1.0573682497958696,1.0162972282257385,1.039597935696192,1.04733957959103,1.041075335862041,1.0159869038134632,1.0177761160154497,1.0296019044311486,1.0467032314608011,1.026987760292482,1.0388671179093645,1.027629554576232,1.03466561553253,1.0158781507825776,1.034370629383249,1.0244591020075964,1.021990707626711,1.0405685091555175,1.0328503068195416,1.0175082598452265,1.0135303556799922,1.0365297154266786,1.0551644448518698,1.053409179847594,1.0247884859589804,1.0268467331049977,1.055418499039379,1.0841804748977348,1.1218000729870665,1.0556961708568515,1.0657981112325345,1.0106382135088485,1.0099124831631257,1.027210815365922,1.048208494562067,1.047972537526421,1.0522032390156313,0.9917936772051352
2018-02-22,1.0472473083273988,1.0820392510829913,1.043494725985257,1.0626435847596178,1.0580211791512313,1.0512728877433561,1.0271620470428975,1.0400001679741755,1.0543819919742947,1.0548387996913204,1.0168138514173568,1.025718663710304,1.0400497166356597,1.05494512453705,1.0247995549197273,1.0409761736581629,1.0326530972259425,1.0322184245350596,1.0136553229723115,1.039158632702346,1.0324553448818687,1.026041496226808,1.0488600382161126,1.0334945349562243,1.0199509890746399,1.02521539589475,1.0433790324986794,1.052034437077347,1.0502841975131512,1.0268298626045897,1.0474362445472851,1.0551283337910051,1.0938753716903749,1.1225755505509978,1.0556961708568515,1.0592833698083122,1.030947731546802,1.005247974490219,1.0289114181925696,1.0495672797382227,1.0561470253142706,1.0632186023940975,0.9982416760703263
2018-02-23,1.071487192765227,1.0958103298784954,1.0590015648805393,1.0693826157215574,1.065955877181508,1.0584437837437284,1.0260755829662305,1.0506533536702853,1.0727701089244395,1.0503226315495742,1.0140575468698312,1.0321484112212365,1.042288714367433,1.0631866783523225,1.037928866634876,1.0448931741349399,1.0401884112005082,1.0448615485938235,1.0301683970400857,1.0543775375518876,1.03809961616527,1.0306712271464107,1.0538938531292508,1.043156112646408,1.0244299615268238,1.0295203771921615,1.0499021985794441,1.0700313991286245,1.0701704993992316,1.0355789506050592,1.0452157991726752,1.0776150377159681,1.105225863832623,1.1681923870465831,1.0641349607403523,1.0792617438717718,1.0319146405265458,1.030612162499784,1.0416665244622065,1.0662967474096265,1.0712058323711176,1.0727971213875678,0.9982416760703263
